Id,Type,Abbriv,Full Name En,Full Name Zh,Full Name Jp,Short Name En,Short Name Zh,Short Name Jp
大战争音乐名,Game,GFW,Great Fairy Wars ~ Eastern Three Fairies,妖精大战争 ~ 东方三月精,妖精大戦争 ~ 東方三月精,Great Fairy Wars,妖精大战争,妖精大戦争
非想天则音乐名,Game,HISOU,Touhou Hisoutensoku ~ Choudokyuu Ginyoru no Nazo o Oe,东方非想天则 ~ 追寻特大型人偶之谜,東方非想天則 ~ 超弩級ギニョルの謎を追え,Hisoutensoku,东方非想天则,東方非想天則
心绮楼音乐名,Game,HM,Touhou Shinkirou ~ Hopeless Masquerade,东方心绮楼 ~ Hopeless Masquerade.,東方心綺楼 ~ Hopeless Masquerade,Hopeless Masquerade,东方心绮楼,東方心綺楼
灵异传音乐名,Game,HRtP,Touhou Reiiden ~ The Highly Responsive to Prayers,东方灵异传 ~ Highly Responsive to Prayers,東方靈異伝 ~ The Highly Responsive to Prayers,The Highly Responsive to Prayers,东方灵异传,東方靈異伝
萃梦想音乐名,Game,IaMP,Touhou Suimusou ~ Immaterial and Missing Power,东方萃梦想 ~ Immaterial and Missing Power,東方萃夢想 ~ Immaterial and Missing Power,Immaterial and Missing Power,东方萃梦想,東方萃夢想
永夜抄音乐名,Game,IN,Touhou  Eiyashou ~ Imperishable Night,东方永夜抄 ~ Imperishable Night,東方永夜抄 ~ Imperishable Night,Imperishable Night,东方永夜抄,東方永夜抄
天邪鬼音乐名,Game,ISC,Danmaku Amanojaku ~ Impossible Spell Card,弹幕天邪鬼 ~ Impossible Spell Card,弾幕アマノジャク ~ Impossible Spell Card,Impossible Spell Card,弹幕天邪鬼,弾幕アマノジャク
稀翁玉音乐名,Game,KG,Kioh Gyoku,稀翁玉,稀翁玉,Kioh Gyoku,稀翁玉,稀翁玉
幻想乡音乐名,Game,LLS,Touhou Gensoukyou ~ Lotus Land Story,东方幻想乡 ~ Lotus Land Story,東方幻想郷 ~ Lotus Land Story,Lotus Land Story,东方幻想乡,東方幻想郷
绀珠传音乐名,Game,LoLK,Touhou Kanjuden ~ Legacy of Lunatic Kingdom,东方绀珠传 ~ Legacy of Lunatic Kingdom,東方紺珠伝 ~ Legacy of Lunatic Kingdom,Legacy of Lunatic Kingdom,东方绀珠传,東方紺珠伝
风神录音乐名,Game,MoF,Touhou Fuujinroku ~ Mountain of Faith,东方风神录 ~ Mountain of Faith,東方風神録 ~ Mountain of Faith,Mountain of Faith,东方风神录,東方風神録
怪绮谈音乐名,Game,MS,Touhou Kaikidan ~ Mystic Square,东方怪绮谈 ~ Mystic Square.,東方怪綺談 ~ Mystic Square,Mystic Square,东方怪绮谈,東方怪綺談
妖妖梦音乐名,Game,PCB,"Touhou  Youyoumu ~ Perfect Cherry Blossom ",东方妖妖梦 ~ Perfect Cherry Blossom,東方妖々夢 ~ Perfect Cherry Blossom,Perfect Cherry Blossom,东方妖妖梦,東方妖々夢
梦时空音乐名,Game,PoDD,Touhou  Yumejikuu ~ The Phantasmagoria of Dim.Dream,东方梦时空 ~ Phantasmagoria of Dim.Dream,東方夢時空 ~ The Phantasmagoria of Dim.Dream,The Phantasmagoria of Dim.Dream,东方梦时空,東方夢時空
花映塚音乐名,Game,PoFV,Touhou Kaeizuka ~ Phantasmagoria of Flower View,东方花映塚 ~ Phantasmagoria of Flower View,東方花映塚 ~ Phantasmagoria of Flower View,Phantasmagoria of Flower View,东方花映塚,東方花映塚
地灵殿音乐名,Game,SA,Touhou Chireiden ~ Subterranean Animism,东方地灵殿 ~ Subterranean Animism,東方地霊殿 ~ Subterranean Animism,Subterranean Animism,东方地灵殿,東方地霊殿
秋霜玉音乐名,Game,SG,Shuusou Gyoku,秋霜玉,秋霜玉,Shuusou Gyoku,秋霜玉,秋霜玉
封魔录音乐名,Game,SoEW,Touhou Fuumaroku ~ the Story of Eastern Wonderland,东方封魔录 ~ the Story of Eastern Wonderland,東方封魔録 ~ the Story of Eastern Wonderland,the Story of Eastern Wonderland,东方封魔录,東方封魔録
文花帖音乐名,Game,StB,Touhou Bunkachou ~ Shoot the Bullet,东方文花帖 ~ Shoot the Bullet,東方文花帖 ~ Shoot the Bullet,Shoot the Bullet,东方文花帖,東方文花帖
绯想天音乐名,Game,SWR,Touhou Hisouten ~ Scarlet Weather Rhapsody,东方绯想天 ~ Scarlet Weather Rhapsody,東方緋想天 ~ Scarlet Weather Rhapsody,Scarlet Weather Rhapsody,东方绯想天,東方緋想天
神灵庙音乐名,Game,TD,Touhou Shinreibyou ~ Ten Desires,东方神灵庙 ~ Ten Desires,東方神霊廟 ~ Ten Desires,Ten Desires,东方神灵庙,東方神霊廟
黄昏酒场音乐名,Game,UB,Tasogare Sakaba ~ Uwabami Breakers,黄昏酒場 ~ Uwabami Breakers,黄昏酒場 ~ Uwabami Breakers,Uwabami Breakers,黄昏酒場,黄昏酒場
星莲船音乐名,Game,UFO,Touhou  Seirensen ~ Undefined Fantastic Object,东方星莲船 ~ Undefined Fantastic Object,東方星蓮船 ~ Undefined Fantastic Object,Undefined Fantastic Object,东方星莲船,東方星蓮船
深秘录音乐名,Game,ULiL,Touhou Shinpiroku ~ Urban Legend in Limbo,东方深秘录 ~ Urban Legend in Limbo.,東方深秘録 ~ Urban Legend in Limbo,Urban Legend in Limbo,东方深秘录,東方深秘録
虹龙洞音乐名,Game,UM,Touhou  Kouryuudou ~ Unconnected Marketeers,东方虹龙洞 ~ Unconnected Marketeers,東方虹龍洞 ~ Unconnected Marketeers,Unconnected Marketeers,东方虹龙洞,東方虹龍洞
鬼形兽音乐名,Game,WBaWC,Touhou Kikeijuu ~ Wily Beast and Weakest Creature,东方鬼形兽 ~ Wily Beast and Weakest Creature,東方鬼形獣 ~ Wily Beast and Weakest Creature,Wily Beast and Weakest Creature,东方鬼形兽,東方鬼形獣
